Criterion:,RSS
Dimension:,n=16,p=26
Criterion,Score
RSS(k=2),580.3994
ES2,8.5662
D-Optimal(k=2),0.98271
A-Optimal(k=2),1.039
-,-,+,+,+,+,-,-,-,+,+,+,+,+,-,-,+,-,+,-,+,+,+,+,-,+
+,-,-,+,+,-,+,-,+,-,+,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-
+,-,+,+,+,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,+,-,+,-,+,-
-,-,+,-,-,-,+,+,+,-,+,+,+,-,-,+,-,-,-,-,+,+,-,-,+,+
-,+,-,+,+,+,+,+,-,-,+,+,-,-,+,+,+,-,-,-,-,-,+,-,-,-
-,+,-,+,-,-,-,-,+,+,-,+,+,-,+,+,+,+,-,+,+,-,-,+,+,+
-,-,-,-,+,-,-,+,-,+,+,+,-,+,+,-,-,+,+,+,-,-,-,-,+,+
-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,-,+,+,-,-,-
+,+,-,+,-,+,-,+,-,-,-,-,+,+,-,+,-,-,+,+,+,-,-,-,-,+
+,+,-,-,+,-,+,+,+,+,+,-,+,+,-,+,+,+,+,-,-,+,-,+,-,-
+,-,+,+,-,+,-,+,+,-,-,-,-,+,+,+,+,+,+,-,-,+,+,+,+,+
-,+,+,-,-,+,+,-,+,+,-,+,+,+,+,-,-,+,+,-,-,-,+,-,-,-
-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,-,+,+,+,-
+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,-,+,+,-,+,-,-,+,+
+,+,+,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,-,+,+,+,-,+,-,-
+,-,-,-,+,+,+,-,-,+,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,+
