Criterion:,RSS
Dimension:,n=12,p=22
Criterion,Score
RSS(k=2),555.9722
ES2,7.4805
D-Optimal(k=2),0.97293
A-Optimal(k=2),1.0623
+,+,+,-,-,-,+,+,-,-,+,-,+,-,+,+,+,+,+,-,+,+
-,-,-,+,-,+,-,+,-,-,+,+,+,+,-,-,-,+,+,-,-,+
-,-,+,-,-,-,+,-,+,+,+,-,-,+,-,+,-,+,-,-,-,-
-,-,-,-,+,+,+,-,-,+,-,-,-,+,+,+,+,-,-,+,-,+
+,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-
-,+,+,+,+,-,+,-,+,+,+,+,+,-,-,-,+,-,+,+,-,+
-,+,+,+,+,+,-,+,-,+,-,-,+,+,+,-,+,+,-,-,+,-
+,-,-,+,-,-,+,+,-,+,-,-,+,-,-,-,-,-,-,+,+,-
+,+,+,-,-,+,-,+,+,-,+,+,-,+,-,-,+,-,-,+,+,+
+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,+,-,+,+,-,+,+
+,-,-,+,+,-,+,+,+,-,-,+,-,+,+,+,+,+,+,+,-,-
-,-,+,-,-,+,-,-,+,-,-,+,+,-,+,+,-,-,+,+,+,-
