Criterion:,RSS
Dimension:,n=12,p=20
Criterion,Score
RSS(k=2),382.4067
ES2,6.9053
D-Optimal(k=2),0.97491
A-Optimal(k=2),1.0587
+,-,+,+,+,-,+,-,-,-,-,+,+,+,-,-,-,-,+,-
-,-,-,-,-,+,+,+,-,+,+,-,-,+,+,-,-,+,+,-
+,+,-,+,+,+,-,+,-,+,+,+,+,-,+,-,-,+,-,+
+,+,-,-,-,+,+,+,+,-,-,+,+,+,+,+,-,-,+,+
+,+,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,+
-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,+,-,+,-,+
+,-,-,+,+,-,+,-,+,+,+,-,-,+,+,+,+,-,-,+
+,-,-,+,-,+,-,-,+,+,-,+,+,-,-,+,+,+,+,-
-,+,-,-,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-
-,+,+,+,+,+,+,+,+,+,-,-,-,-,-,+,-,-,-,-
-,-,+,-,+,+,-,-,+,-,+,-,+,-,+,-,+,-,+,+
-,+,+,+,-,-,-,+,+,-,+,+,-,+,+,-,+,+,-,-
